,centers
409,"[-11005406.863673868, 2236639.874245768]"
410,"[-11005383.051126242, 2236716.6035658936]"
411,"[-11005369.821933117, 2236684.8535023932]"
412,"[-11005327.488515116, 2236666.3326320183]"
413,"[-11005290.446774367, 2236713.9577272683]"
414,"[-11005271.925903993, 2236663.6867933935]"
415,"[-11005229.592485992, 2236613.415859518]"
416,"[-11005205.779938366, 2236658.3951161434]"
417,"[-11005256.050872242, 2236745.7077907687]"
418,"[-11005248.113356367, 2236282.686031391]"
419,"[-11005248.113356367, 2236229.7692588908]"
420,"[-11005174.933869729, 2236266.9212429174]"
421,"[-11005042.641938478, 2236404.5048514176]"
422,"[-11005000.308520477, 2236438.900753543]"
423,"[-11005116.725419978, 2236639.9844890437]"
424,"[-11005122.01709723, 2236608.2344255433]"
425,"[-11005037.350261228, 2236774.922258919]"
426,"[-11004679.632879125, 2236744.759698594]"
427,"[-11004743.133006126, 2236922.5600541946]"
428,"[-11004702.916259024, 2237080.2520362455]"
429,"[-11004644.707809275, 2237078.1353653455]"
430,"[-11004625.657771176, 2237054.8519854452]"
431,"[-11004713.499613525, 2237028.3935991954]"
432,"[-11004879.658279175, 2237146.927169596]"
433,"[-11004848.966551125, 2237137.4021505457]"
434,"[-11004818.274823075, 2237131.0521378457]"
435,"[-11004834.149854826, 2237104.5937515954]"
436,"[-11004870.133260125, 2237113.0604351955]"
437,"[-11004850.024886576, 2237065.4353399454]"
438,"[-11004534.640922477, 2235923.667778631]"
439,"[-11004536.757593377, 2235909.909417781]"
440,"[-11004506.065865327, 2235926.8427849812]"
441,"[-11004518.765890727, 2235899.326063281]"
442,"[-11004496.540846277, 2235896.151056931]"
443,"[-11004570.941828411, 2236855.7967262226]"
444,"[-11004535.223006973, 2236859.76548416]"
445,"[-11004060.559557645, 2236671.5471389736]"
446,"[-11004074.053334631, 2236689.803425486]"
447,"[-11004157.39725132, 2237023.1790922387]"
448,"[-11004212.166110858, 2237345.4422367597]"
449,"[-11003882.759202046, 2237244.635785147]"
450,"[-11003888.050879298, 2237223.469076147]"
451,"[-11003866.884170298, 2237240.402443347]"
452,"[-11003872.175847547, 2237219.235734347]"
453,"[-11003851.009138547, 2237232.994095197]"
454,"[-11003853.125809446, 2237215.0023925467]"
455,"[-11003893.342556547, 2237463.711223299]"
456,"[-11003895.459227446, 2237444.661185199]"
457,"[-11003880.642531147, 2237441.486178849]"
458,"[-11003877.467524797, 2237459.477881499]"
459,"[-11003967.150429856, 2236777.083027125]"
460,"[-11003975.087945731, 2236744.6715039685]"
461,"[-11003951.936857762, 2236771.791349875]"
462,"[-11003959.874373637, 2236740.041286375]"
463,"[-11004689.728958352, 2237256.905861771]"
464,"[-11004647.395540351, 2237272.7808935214]"
465,"[-11004429.113853786, 2237410.364502022]"
466,"[-11004417.207579974, 2237382.5831964593]"
467,"[-11004623.582992725, 2237397.135308897]"
468,"[-11004781.010390913, 2237435.4999689595]"
469,"[-11004994.000400227, 2237389.197793022]"
470,"[-11004997.969158165, 2237308.499714959]"
471,"[-11004720.156102538, 2237562.5002229605]"
472,"[-11004441.549295323, 2237561.1773036467]"
473,"[-11005112.533970628, 2236983.3261479447]"
474,"[-11004971.775355775, 2237837.4028560775]"
475,"[-11004912.508570574, 2237754.8526909766]"
476,"[-11004753.758253073, 2237833.1695142775]"
477,"[-11004707.191493273, 2237706.1692602765]"
478,"[-11004618.291315474, 2237676.535867676]"
479,"[-11004546.324504873, 2237646.9024750763]"
480,"[-11004417.207579972, 2237621.502424276]"
481,"[-11004523.041124972, 2237704.0525893765]"
482,"[-11004470.124352472, 2237693.4692348763]"
483,"[-11004321.95738947, 2237750.619349177]"
484,"[-11004271.157287871, 2237754.8526909766]"
485,"[-11004294.44066777, 2237837.4028560775]"
486,"[-11004330.247683829, 2237960.434352141]"
487,"[-11004319.002869671, 2238015.9969632663]"
488,"[-11004372.58110183, 2238023.934479141]"
489,"[-11004464.523994047, 2237984.246899766]"
490,"[-11004548.529370392, 2237867.168540609]"
491,"[-11004502.227194455, 2237861.215403703]"
492,"[-11004524.716822768, 2237823.512203296]"
493,"[-11004446.66458333, 2238049.8636976606]"
494,"[-11004395.732189797, 2238046.5563993794]"
495,"[-11004290.560104452, 2238144.452428505]"
496,"[-11004286.591346515, 2238100.7960911924]"
497,"[-11004246.242307484, 2238076.322083911]"
498,"[-11004244.919388171, 2238127.9159370987]"
499,"[-11004214.492243983, 2238119.3169615674]"
500,"[-11004220.44538089, 2238135.8534529735]"
501,"[-11004814.30386028, 2238000.783391168]"
502,"[-11004520.814210795, 2238479.0848686094]"
503,"[-11004493.826656818, 2238572.7475559353]"
504,"[-11004471.601612369, 2238661.6477337363]"
505,"[-11004449.376567919, 2238680.6977718365]"
506,"[-11004481.126631418, 2238690.2227908866]"
507,"[-11004389.051447269, 2238793.4104972626]"
508,"[-11004310.311289782, 2238339.384589208]"
509,"[-11004316.66130248, 2238306.047022532]"
510,"[-11004296.023761207, 2238312.3970352323]"
511,"[-11004189.661048481, 2238338.8554214826]"
512,"[-11004157.910984982, 2238481.201539508]"
513,"[-11004155.265146356, 2238952.4783153804]"
514,"[-11004126.690089205, 2238814.365539155]"
515,"[-11004072.714981254, 2238855.6406217054]"
516,"[-11004050.489936804, 2238846.1156026553]"
517,"[-11004287.160201808, 2238717.9688185826]"
518,"[-11003710.473215096, 2238691.9337665113]"
519,"[-11003727.406582296, 2238626.3169686105]"
520,"[-11003731.639924096, 2238596.68357601]"
521,"[-11003579.239619294, 2238772.367260712]"
522,"[-11003642.739746295, 2238698.2837792113]"
523,"[-11003653.323100794, 2238655.950361211]"
524,"[-11003528.439517694, 2238628.4336395105]"
525,"[-11003649.089758994, 2238607.2669305103]"
526,"[-11003653.323100794, 2238588.21689241]"
527,"[-11003636.389733594, 2238596.68357601]"
528,"[-11003583.472961094, 2238573.40019611]"
529,"[-11003621.573037295, 2238524.7167654093]"
530,"[-11003621.573037295, 2238503.550056409]"
531,"[-11003591.939644694, 2238520.4834236093]"
532,"[-11003215.17222449, 2238427.349904008]"
533,"[-11003627.923049994, 2238325.749700807]"
534,"[-11003632.156391794, 2238302.4663209068]"
535,"[-11003610.989682794, 2238300.3496500067]"
536,"[-11003539.022872193, 2238296.1163082067]"
537,"[-11003558.072910294, 2238241.082864806]"
538,"[-11003564.422922993, 2238217.799484906]"
539,"[-11003536.906201294, 2238236.849523006]"
540,"[-11003543.256213993, 2238209.3328013057]"
541,"[-11003773.973342096, 2238135.249319805]"
542,"[-11003778.206683896, 2238109.8492690045]"
543,"[-11003748.573291296, 2238128.8993071048]"
544,"[-11003752.806633096, 2238101.3825854044]"
545,"[-11003740.106607696, 2238025.1824330036]"
546,"[-11003799.373392897, 2237946.8656097027]"
547,"[-11003565.878134236, 2237895.5363403773]"
548,"[-11003546.828096136, 2237889.186327677]"
549,"[-11003384.505896492, 2238116.1992817046]"
550,"[-11003727.406582296, 2237755.941894548]"
551,"[-11003706.239873296, 2237749.591881848]"
552,"[-11003945.423684997, 2237739.008527348]"
553,"[-11002474.337409483, 2238166.152714966]"
554,"[-11002548.420890983, 2238081.485878965]"
555,"[-11002552.654232783, 2238062.4358408647]"
556,"[-11002866.133193078, 2237806.054078099]"
557,"[-11001598.511907835, 2237534.061867486]"
558,"[-11001659.36619621, 2237534.061867486]"
559,"[-11001759.90806396, 2237396.4782589856]"
560,"[-11001714.928807335, 2237385.8949044854]"
561,"[-11001632.90780996, 2237330.33229336]"
562,"[-11001627.616132708, 2237301.228068485]"
563,"[-11001773.137257084, 2237166.290298609]"
564,"[-11001778.428934334, 2237137.186073734]"
565,"[-11001794.303966084, 2237158.352782734]"
566,"[-11001799.595643334, 2237137.186073734]"
567,"[-11001844.57489996, 2237314.45726161]"
568,"[-11001863.095770335, 2237203.3320393595]"
569,"[-11002003.325217461, 2237105.4360102336]"
